,Unnamed: 0,Nombre de usuario,Usuario,Fecha,Texto
6426,860,El Metido,@elbarbadito,2021-02-16,pais estan tan atrasados politicos celebran llegada vacuna si premio nobel generan caos audiovisual vacunar primera persona paises historia fin colombia
6427,861,Juan urrutia,@Juanmaurrutiave,2021-02-16,hoy llegaron colombia 50000 dosis vacuna pfizzerlas recibieron aeropuerto presidentevicepresidentaministro salud funcionarios chaleco anaranjadofaltaron carro bomberos senorita colombia voladores papayera pobre recepcion
6428,862,Joelvinv,@JoelvinRV,2021-02-16,movil asesinato venezolano peru cobro vacuna decir hampa comun mientras peruanos asesinados hampones venezolanos colombia movil xenofobia
6429,863,Yoly la que ama a Dios,@Yolanda39147668,2021-02-16,hdpdgch merecen ser vacunados colombia ojala decidan gotitas milagrosas maduro manada atrevidos resentidos sociales llenos odio envidia seguro seran primeros llevar vacuna mamas
6430,864,Paula Miranda.,@paubrokenheart,2021-02-16,desespero irme colombia tan grande dispuesta ponerme vacuna decir contar salir cuchitril pais
6431,865,Juan David Castillo.,@judakstillo,2021-02-16,2 dosis vacuna 70 poblacion pais 336m personas aprox asi lograr inmunidad rebano hoy llegaron apenas 50000 aprox 000074 requierey titere sale decir cumplio colombia
6432,866,Ismael Enrique Garcí,@isma1385,2021-02-16,ridiculo presenciar mediocre subpresidente colombia comite aplausos celebrando victoria recibir muestras gratis llegaron vacuna pfizer
6433,867,miguel tuta,@migueltuta,2021-02-16,colombia septimo pais diez paises principales america sur adquirir oficialmente vacuna covid orgullo evidencia cadena errores dia dia cobra muchas vidas
6434,868,Paola Gómez P.,@pagope,2021-02-16,seguro emocional inicio vacunacion colombia noticias producen enorme alegria pensar gente perdido perdido ano saber vacuna luz final tunel verdad emociona alma
6435,869,Agustin Castillo,@Agustin96508247,2021-02-16,quiera saber si paises tambien recibido procesion hecho colombia llegada vacuna falto inefable protagonismo senor presidente
6436,870,"Chuck ""Lone Wolf"" ✪",@ChuckLWolf,2021-02-16,si usted alguna razon chimbazo leyendo casualidad inconforme primeras 50000 vacunas pfizer llegaron colombia deje joder viaje caracas paz pague alla vacuna rusa buenas tardes
6437,871,MICHAEL D,@DCBOGOTA35,2021-02-16,seria bueno up colombia humana mais partido verde farccomunes polo robocratico demas compren propia vacuna brinden parasitos hijueputas solo viven ver fracasar pupilo uribe paridos
6438,872,Mr. Nameless,@mr_nameless9,2021-02-16,izquierda colombia sirve culo aportan solo quitan salen veedores vacuna
6439,873,Mathew Saavedra,@mathewsaavedraa,2021-02-16,colombia vacuna
6440,874,cam |,@li4mhxppiness,2021-02-16,si paises llegan millon vacunas despues colombia vi vacunandonos alla 2030 vacuna preventiva puede contagiar imagino venga vacuna
6441,875,EduPrime,@EduPrime_Col,2021-02-16,cree estara pais completamente vacunado 138 2023 276 2024 586 29 votos resultados finales
6442,876,Mi Margara,@Maritorc10,2021-02-16,fiesteros tan cheveresque creen virus arriesgan si nadadespues ponerle buen comparendo deberian prioridad aplicacion vacunapero despues vacunen resto colombia
6443,877,José Elias,@JoseEliasAspril,2021-02-16,tenganse medios colombianos haran despliegue mediatico cubrir primera vacuna colombia si cubriendo alunizaje mientras muertes aumentan haran rendir 50000 dosis apunta camaras jugo naranja mamertos
6444,878,Hernando Herrera,@HernandoHS2009,2021-02-15,pocas vacunas llegaron colombia podemos llamar comienza vacunacion masiva pais vacuna cuenta gotas
6445,879,Miguel angel Rojas salas,@Miguela19242142,2021-02-15,pais colombia recibe 50000 dosis vacuna farmaceutica pfizer estan contentos peru recibe 1000000 dosis vacuna contentos sera politicos saboteadores periodismo amarillo tibios
6446,880,Reinaldo Cruz B,@reyunico1,2021-02-15,50000 dosis vacuna llegaron hoy aplicaran todas mismo dia esperar tres semanas mas proximo desembarco dizque cumplimos colombia
6447,881,Camilo Andrés García,@hyperconectado,2021-02-15,parece ridiculo paises pobres incluye colombia ver television descenso caja posibilidad fabricar mismos vacuna salvaria miles vidas
6448,882,pazhenao andres,@pazhenaoandres,2021-02-15,gracias gobierno paises aliados vacuna covid19 triunfo historia colombia gracias presidente promete cumple
6449,883,Rodrigo Larrada,@Rodriguitolr,2021-02-15,hoy informo pib colombia desplomo 68 2020 hablando vacuna hassan nassar jugaditas
6450,884,Santiago Ángel,@santiagoangelp,2021-02-15,ana dolores roman gerente pfizer colombia venezuela dice hora vacuna farmaceutica completamente segura felicita presidente duque gobierno adquisicion
6451,885,Alcides Gómez,@AlcidesGmez14,2021-02-15,realmente uribismo vale gaver celebrando inepto duque trajo punado vacuna alcanzara vacunar 5de poblacion colombia mamerto
6452,886,MarioIvan,@MarioGiraldoR,2021-02-15,historia quedara sincelejo primera ciudad colombia recibir vacuna covid cuentenlo quieran
6453,887,Andres Lopez Bernal,@IlopezAndres,2021-02-15,casi seguro primero vacuna politico medico
6454,888,jose_jbma,@JbmaJose,2021-02-15,mientras unidos vacuno poblacion igual colombia presidente solo traera vacunas retraso 50 mil vacuna solo bogota pueden utilizaren fin hipocresia
6455,889,La Ñaña Tijeras ®,@DianaQuinteroA,2021-02-15,celebrare dia esposo medico apliquen vacuna resulta alcanza todavia momento colombia
6456,890,Juan Alejandro Palacio,@JuanPalacio2018,2021-02-15,toca jugada cartel vacuna pues colombia corrupcion arraigo cultural
6457,891,primerpuntorevista,@primerpuntorev,2021-02-15,circo siglo transmision llegada tal vacuna colombia efectos especiales mejor cortina humo protagonizada gobierno duque
6458,892,manuel,@CozyKaty,2021-02-15,das cuenta vacunacion colombia da pena smile vendio mas copias primera semana gente va ser vacuna colombia semanames
6459,893,Jaime Zapata,@JaimeRisk,2021-02-15,di colombia humana decir colombia humana covax vacuna vacunemos primero bogota vacuna llego primero venezuela
