Nombre de usuario,Usuario,Fecha,Texto
Lucio,@__amnesiac_,2020-12-11T15:04:55.000Z,"No es lluvia, es Dios llorando por Argentina que le dió media sanción a la ley del aborto. Esto, sumado a la vacuna rusa que te hace estéril, y la fábrica de homosexuales que es la ESI significará la extinción de la raza pura euro-argentina.
#YoNoMeVacuno #SalvemosLasDosVidas"
LEYENDA™,@Moskkitamuerta,2020-12-11T14:56:21.000Z,"No es lluvia, es Dios llorando por Argentina que le dió media sanción a la ley del aborto. Esto, sumado a la vacuna rusa que te hace estéril, y la fábrica de homosexuales que es la ESI significará la extinción de la raza pura euro-argentina.
#YoNoMeVacuno #SalvemosLasDosVidas"
yosoyasi,@mis3yo,2020-12-11T14:43:15.000Z,"Claro! La primera persona en ponerse la #VacunaCOVID19 es una vieja amada tiene que perder...ella ya vivió y si se complica y se muere por cualquier vaina dirán que era q estaba vieja y le tocaba morirse.
#Marketing #manipulacion #YoNoMeVacuno"
RAFAEL E. ÁLVAREZ L.,@elFafaAlvarez,2020-12-11T14:39:31.000Z,"En Rusia: 

Se están negando a colocarse la vacuna porque esto implica dejar de beber alcohol por todo el mes... 

El chupito de vodka en Navidad y Fin de Año no se negocia!... 
#YoNoMeVacuno #VacunaCOVID19 #Rusia #elmundoloco"
m¡!u MARZO PARAGUAYO 2021,@ilyniallxh,2020-12-11T14:31:18.000Z,"No es lluvia, es Dios llorando por Argentina que le dió media sanción a la ley del aborto. Esto, sumado a la vacuna rusa que te hace estéril, y la fábrica de homosexuales que es la ESI significará la extinción de la raza pura euro-argentina.
#YoNoMeVacuno #SalvemosLasDosVidas"
charmy,@_taptsoul,2020-12-11T14:30:32.000Z,"No es lluvia, es Dios llorando por Argentina que le dió media sanción a la ley del aborto. Esto, sumado a la vacuna rusa que te hace estéril, y la fábrica de homosexuales que es la ESI significará la extinción de la raza pura euro-argentina.
#YoNoMeVacuno #SalvemosLasDosVidas "
santu,@sannnnnti__,2020-12-11T14:03:08.000Z,"No es lluvia, es Dios llorando por Argentina que le dió media sanción a la ley del aborto. Esto, sumado a la vacuna rusa que te hace estéril, y la fábrica de homosexuales que es la ESI significará la extinción de la raza pura euro-argentina.
#YoNoMeVacuno #SalvemosLasDosVidas"
livs,@dirtyriotgrrrl,2020-12-11T13:53:45.000Z,"No es lluvia, es Dios llorando por Argentina que le dió media sanción a la ley del aborto. Esto, sumado a la vacuna rusa que te hace estéril, y la fábrica de homosexuales que es la ESI significará la extinción de la raza pura euro-argentina.
#YoNoMeVacuno #SalvemosLasDosVidas"
croqueta de cuarentena!!,@JonesHijo,2020-12-11T13:49:28.000Z,"Sabéis si el ""chis"" de la vacuna viene con wifi para poder pillar bien el 5G?
#VacunaCOVID19 #YoNoMeVacuno #YoMeVacunare"
Davidelgnomo,@GrizzlydelTajo,2020-12-11T13:45:50.000Z,"He ido a acompañar a mi padre (74) a ponerse la vacuna de la gripe y he salido de allí vacunado de gripe y de tetanos. 
Ya noto los chisss corriendo por mis venas y no puedo dejar de cantar seré tu amante bandido. 
#YoNoMeVacuno #cuantotontosuelto"
